x,y,species_0 logistic values
1.0,1.0,0.6882339
2.0,2.0,0.5817052
3.0,3.0,0.24627502
4.0,4.0,0.12883557
5.0,5.0,0.3952934
6.0,6.0,0.031219669
7.0,7.0,0.355671
8.0,8.0,0.24766776
9.0,9.0,0.23050204
10.0,10.0,0.007646195
11.0,11.0,0.34700653
12.0,12.0,0.07451003
13.0,13.0,0.4956217
14.0,14.0,0.0058251466
15.0,15.0,0.0033954282
16.0,16.0,0.027526807
17.0,17.0,0.115667686
18.0,18.0,0.008643902
19.0,19.0,0.09628341
20.0,20.0,0.02674382
21.0,21.0,0.06606455
22.0,22.0,0.07901464
23.0,23.0,0.013513107
24.0,24.0,0.107335284
25.0,25.0,0.75624037
26.0,26.0,0.3629569
27.0,27.0,0.03917792
28.0,28.0,0.0065730643
29.0,29.0,0.009379964
30.0,30.0,0.08624606
31.0,31.0,0.03289199
32.0,32.0,0.11061578
33.0,33.0,0.0014969991
34.0,34.0,0.11312121
35.0,35.0,0.0786911
36.0,36.0,0.026471011
37.0,37.0,0.48922887
38.0,38.0,0.6594487
39.0,39.0,5.1972247E-4
40.0,40.0,0.071927816
41.0,41.0,0.06361232
42.0,42.0,0.03881088
43.0,43.0,0.025790274
44.0,44.0,0.13493226
45.0,45.0,0.012578385
46.0,46.0,0.22127
47.0,47.0,0.006431051
48.0,48.0,0.039814856
49.0,49.0,0.002048824
50.0,50.0,0.08136913
51.0,51.0,0.0012552524
52.0,52.0,0.01766476
53.0,53.0,0.008323609
54.0,54.0,0.22115985
55.0,55.0,0.023004599
56.0,56.0,0.010584816
57.0,57.0,0.33960292
58.0,58.0,0.07997768
59.0,59.0,0.030977184
60.0,60.0,0.8053052
61.0,61.0,0.105038434
62.0,62.0,0.38119838
63.0,63.0,0.3039973
64.0,64.0,0.028650364
65.0,65.0,0.020748366
66.0,66.0,0.056613397
67.0,67.0,0.075358465
68.0,68.0,0.11673607
69.0,69.0,0.0030388797
70.0,70.0,0.012968529
71.0,71.0,0.022499088
